Load,Method,Metric,Type,Count,Mean,Std,Median,Q1,Q3
Heavy,DRL-OR,delay,I,5000,117.70856,136.08030837998623,111.9,10.0,152.0
Heavy,DRL-OR,delay,III,5000,118.12656666339998,150.5591448843635,107.4666665,10.166667,154.90000025
Heavy,DRL-OR,delay,IV,5000,120.701664,169.53258684238676,118.71000000000001,10.08,152.08
Heavy,DRL-OR,loss,IV,5000,14.42635668,18.676467783777845,2.9035,0.0,26.4706
Heavy,DRL-OR,throughput,II,5000,82.24160803372,20.092906388434212,87.87342240000001,69.63729958333333,100.34647945
Heavy,DRL-OR,throughput,III,5000,81.80119835436,19.937591819114978,87.46318773333333,69.14960606666666,100.31103186666665
Heavy,LBR,delay,I,1035,146.31864734299515,162.51497580183394,137.0,12.7,189.0
Heavy,LBR,delay,III,1489,156.1202372820685,170.98711610202034,137.033333,15.1,222.766667
Heavy,LBR,delay,IV,975,157.45653333333334,231.40117617460916,137.02,15.06,215.76999999999998
Heavy,LBR,loss,IV,975,15.755214666666667,19.103628168368914,7.4074,0.0,28.571400000000004
Heavy,LBR,throughput,II,1501,78.84131692804797,21.60984033031444,84.14492426666668,64.4096952,99.3756822
Heavy,LBR,throughput,III,1489,78.57585282028207,21.501717278531103,83.23580033333333,64.14611526666667,98.36741586666668
Heavy,MAPPO-OR,delay,I,5000,97.30628,131.06267089183663,30.2,10.0,147.0
Heavy,MAPPO-OR,delay,III,5000,101.592113318,165.1288135402326,35.0166665,10.033333,147.033333
Heavy,MAPPO-OR,delay,IV,5000,104.83936800000001,121.10069669687563,48.29,10.06,147.08
Heavy,MAPPO-OR,loss,IV,5000,15.04326018,20.206187751057502,0.0,0.0,28.571400000000004
Heavy,MAPPO-OR,throughput,II,5000,79.193872052,22.8600033018086,86.416549,62.831648683333334,100.24372120000001
Heavy,MAPPO-OR,throughput,III,5000,82.78368675712,21.068676819535494,90.18067339999999,70.64468915,100.46383995
Heavy,QoSR,delay,I,1008,151.26369047619048,174.32167195697238,137.0,10.0,190.25
Heavy,QoSR,delay,III,1452,155.07578053236915,176.00582853680953,137.033333,15.0,203.1916665
Heavy,QoSR,delay,IV,1002,150.189500998004,166.52267385747155,137.0,11.510000000000002,232.38
Heavy,QoSR,loss,IV,1002,15.505124151696608,19.1842801018227,5.6604,0.0,28.571400000000004
Heavy,QoSR,throughput,II,1538,79.65455756870394,21.42898773889883,84.9819662,65.49406805,99.71512601666666
Heavy,QoSR,throughput,III,1452,78.33604269995409,21.47789004914635,82.9469824,63.639639766666676,98.96865728333333
Heavy,SPR,delay,I,997,149.72296890672015,209.84102187575124,28.0,5.4,152.0
Heavy,SPR,delay,III,1513,151.34252036814277,242.24920211646358,28.933333,10.033333,152.2
Heavy,SPR,delay,IV,996,144.74459839357428,293.8903983421846,20.12,5.12,150.685
Heavy,SPR,loss,IV,996,16.75297640562249,25.02749701649225,0.0,0.0,30.5556
Heavy,SPR,throughput,II,1494,79.94110950879072,25.31665057689974,90.52474016666667,63.16382183333334,100.45767173333333
Heavy,SPR,throughput,III,1513,78.62245541934347,26.39690691463458,89.76085800000001,62.02253186666666,100.34853086666666
Light,DRL-OR,delay,I,5000,14.550320000000001,29.988335598228655,10.2,5.2,15.6
Light,DRL-OR,delay,III,5000,14.0711866538,25.61333832626464,10.1,5.066667,15.433333
Light,DRL-OR,delay,IV,5000,13.654732000000001,21.56042739868807,10.12,5.1,20.02
Light,DRL-OR,loss,IV,5000,0.79492028,2.8767429712341728,0.0,0.0,0.0
Light,DRL-OR,throughput,II,5000,97.60663473024,9.097224469554531,100.63951206666665,98.50108185,101.10801326666667
Light,DRL-OR,throughput,III,5000,98.67026389784,7.754285012488748,100.69673046666668,99.20439078333334,101.12943953333333
Light,LBR,delay,I,1010,16.08178217821782,9.729438169199936,15.0,5.2,25.0
Light,LBR,delay,III,1452,16.666735514462808,9.897252727021884,15.066667,5.1,25.0
Light,LBR,delay,IV,995,16.673447236180902,9.865707107774806,15.08,5.12,25.06
Light,LBR,loss,IV,995,0.0,0.0,0.0,0.0,0.0
Light,LBR,throughput,II,1543,100.44845018690863,1.7809223425175853,100.68374739999999,100.06563833333333,101.08421700000001
Light,LBR,throughput,III,1452,100.49113979077136,1.4977495297115428,100.74515146666666,100.09799646666666,101.10295563333335
Light,MAPPO-OR,delay,I,5000,13.10572,19.76989815492761,10.2,5.2,15.4
Light,MAPPO-OR,delay,III,5000,12.4320199824,15.031681104486237,10.066667,5.066667,15.2
Light,MAPPO-OR,delay,IV,5000,12.423408,6.983286450050915,10.1,5.08,15.18
Light,MAPPO-OR,loss,IV,5000,0.20126876,1.4817172400049639,0.0,0.0,0.0
Light,MAPPO-OR,throughput,II,5000,98.60256373845333,7.080680637469056,100.7676062,99.86902513333334,101.08778573333335
Light,MAPPO-OR,throughput,III,5000,99.82162678838667,4.595384258324853,100.81372900000001,100.15518451666668,101.1202132
Light,QoSR,delay,I,1035,11.490241545893719,6.115162643645191,10.0,5.2,15.2
Light,QoSR,delay,III,1528,11.324585482984292,6.023549902502636,10.033333,5.033333,15.066667
Light,QoSR,delay,IV,981,11.35816513761468,6.330143234124993,10.06,5.06,15.08
Light,QoSR,loss,IV,981,1.520187257900102,3.9349024903162007,0.0,0.0,0.0
Light,QoSR,throughput,II,1456,99.30150062838828,3.9920281439302028,100.65897079999999,99.47753206666667,101.03933205000001
Light,QoSR,throughput,III,1528,99.21629094271378,4.061833136029881,100.55292346666667,99.47407565,101.00962881666666
Light,SPR,delay,I,1039,17.634456207892203,52.72126441074037,10.0,5.2,15.2
Light,SPR,delay,III,1512,20.80394618320106,63.06688432042445,10.066667,5.066667,15.233333
Light,SPR,delay,IV,924,17.465151515151515,50.91436073034213,10.06,5.06,15.1
Light,SPR,loss,IV,924,1.7818358225108226,5.129969571535491,0.0,0.0,0.0
Light,SPR,throughput,II,1525,96.36681018780327,12.238145959676501,100.42361306666668,98.8030204,100.97133746666667
Light,SPR,throughput,III,1512,96.61191900987654,11.716625309060277,100.36611823333334,98.77064333333334,100.95709696666667
