Load,Method,Metric,Type,Block,Value
Light,OR-DRL,delay,I,1,13.854
Light,OR-DRL,delay,I,2,12.595999999999998
Light,OR-DRL,delay,I,3,15.686
Light,OR-DRL,delay,I,4,12.332000000000003
Light,OR-DRL,delay,I,5,14.052000000000003
Light,OR-DRL,delay,I,6,18.744
Light,OR-DRL,delay,I,7,11.948
Light,OR-DRL,delay,I,8,12.495999999999999
Light,OR-DRL,delay,I,9,10.590000000000002
Light,OR-DRL,delay,I,10,13.370000000000003
Light,OR-DRL,delay,I,11,16.722
Light,OR-DRL,delay,I,12,14.928000000000003
Light,OR-DRL,delay,I,13,19.64
Light,OR-DRL,delay,I,14,14.562000000000003
Light,OR-DRL,delay,I,15,18.672
Light,OR-DRL,delay,I,16,19.548
Light,OR-DRL,delay,I,17,21.25999999999999
Light,OR-DRL,delay,I,18,15.986
Light,OR-DRL,delay,I,19,13.926000000000002
Light,OR-DRL,delay,I,20,12.204000000000002
Light,OR-DRL,delay,I,21,11.820000000000002
Light,OR-DRL,delay,I,22,12.056000000000001
Light,OR-DRL,delay,I,23,11.842
Light,OR-DRL,delay,I,24,12.314
Light,OR-DRL,delay,I,25,14.751999999999999
Light,OR-DRL,delay,I,26,11.520000000000003
Light,OR-DRL,delay,I,27,12.438000000000002
Light,OR-DRL,delay,I,28,15.126
Light,OR-DRL,delay,I,29,20.668000000000003
Light,OR-DRL,delay,I,30,16.652
Light,OR-DRL,delay,I,31,13.368000000000002
Light,OR-DRL,delay,I,32,11.818
Light,OR-DRL,delay,I,33,11.426000000000002
Light,OR-DRL,delay,I,34,12.328000000000001
Light,OR-DRL,delay,I,35,17.516
Light,OR-DRL,delay,I,36,14.19
Light,OR-DRL,delay,I,37,11.646
Light,OR-DRL,delay,I,38,15.844000000000001
Light,OR-DRL,delay,I,39,15.468
Light,OR-DRL,delay,I,40,17.51
Light,OR-DRL,delay,I,41,12.374
Light,OR-DRL,delay,I,42,12.534
Light,OR-DRL,delay,I,43,14.726
Light,OR-DRL,delay,I,44,18.910000000000004
Light,OR-DRL,delay,I,45,10.204
Light,OR-DRL,delay,I,46,12.654000000000002
Light,OR-DRL,delay,I,47,12.755999999999998
Light,OR-DRL,delay,I,48,15.4
Light,OR-DRL,delay,I,49,19.052
Light,OR-DRL,delay,I,50,15.488000000000001
Light,OR-DRL,delay,III,1,13.60433333
Light,OR-DRL,delay,III,2,13.111666679999999
Light,OR-DRL,delay,III,3,13.184666650000002
Light,OR-DRL,delay,III,4,12.058
Light,OR-DRL,delay,III,5,22.03766662
Light,OR-DRL,delay,III,6,12.035333330000004
Light,OR-DRL,delay,III,7,13.770333310000002
Light,OR-DRL,delay,III,8,12.03399995
Light,OR-DRL,delay,III,9,14.193666650000003
Light,OR-DRL,delay,III,10,12.454666679999997
Light,OR-DRL,delay,III,11,13.03533335
Light,OR-DRL,delay,III,12,24.039999999999996
Light,OR-DRL,delay,III,13,17.77066667
Light,OR-DRL,delay,III,14,12.988666619999996
Light,OR-DRL,delay,III,15,15.307666630000002
Light,OR-DRL,delay,III,16,12.669999999999998
Light,OR-DRL,delay,III,17,14.36699995
Light,OR-DRL,delay,III,18,11.28266664
Light,OR-DRL,delay,III,19,13.590999959999998
Light,OR-DRL,delay,III,20,11.804666680000002
Light,OR-DRL,delay,III,21,12.42799998
Light,OR-DRL,delay,III,22,20.072666680000005
Light,OR-DRL,delay,III,23,16.35633332
Light,OR-DRL,delay,III,24,13.541333320000001
Light,OR-DRL,delay,III,25,12.931333299999999
Light,OR-DRL,delay,III,26,13.255999980000002
Light,OR-DRL,delay,III,27,13.02666662
Light,OR-DRL,delay,III,28,16.62633337
Light,OR-DRL,delay,III,29,12.523666639999998
