Load,Method,Metric,Type,Number_of_blocks,Mean_of_blocks,Std_of_blocks,Median_of_blocks,Q1_of_blocks,Q3_of_blocks
Heavy,DRL-OR,delay,I,50,117.7086,19.5693,114.759,106.7525,127.719
Heavy,DRL-OR,delay,III,50,118.1266,24.346,115.181,102.3249,133.7444
Heavy,DRL-OR,delay,IV,50,120.7017,23.7528,118.9422,104.3168,133.2781
Heavy,DRL-OR,loss,IV,50,14.4264,2.8659,14.7184,12.3845,16.0492
Heavy,DRL-OR,throughput,II,50,82.2416,2.5044,82.7219,80.7536,83.4314
Heavy,DRL-OR,throughput,III,50,81.8012,3.2937,82.0444,79.1333,84.1378
Heavy,MAPPO-OR,delay,I,50,97.3063,11.8821,96.214,90.7845,105.271
Heavy,MAPPO-OR,delay,III,50,101.5921,18.8939,98.0292,87.6397,108.8392
Heavy,MAPPO-OR,delay,IV,50,104.8394,13.5267,107.3727,97.2737,113.1949
Heavy,MAPPO-OR,loss,IV,50,15.0433,2.584,14.8177,13.3936,16.5658
Heavy,MAPPO-OR,throughput,II,50,79.1939,3.0698,79.1908,77.113,81.1995
Heavy,MAPPO-OR,throughput,III,50,82.7837,2.5284,82.4722,81.2066,84.3681
Light,DRL-OR,delay,I,50,14.5503,2.827,13.989,12.329,15.9505
Light,DRL-OR,delay,III,50,14.0712,2.7389,13.0735,12.4524,14.3237
Light,DRL-OR,delay,IV,50,13.6547,2.2212,12.8651,12.3185,13.7518
Light,DRL-OR,loss,IV,50,0.7949,0.2591,0.7734,0.5863,0.9843
Light,DRL-OR,throughput,II,50,97.6066,1.0192,97.7224,97.0675,98.3845
Light,DRL-OR,throughput,III,50,98.6703,0.8632,98.7005,98.2953,99.1729
Light,MAPPO-OR,delay,I,50,13.1057,1.9055,12.557,11.8155,13.4475
Light,MAPPO-OR,delay,III,50,12.432,1.4679,12.1613,11.6698,12.5377
Light,MAPPO-OR,delay,IV,50,12.4234,0.727,12.4492,11.8671,12.9099
Light,MAPPO-OR,loss,IV,50,0.2013,0.1375,0.1975,0.1071,0.2683
Light,MAPPO-OR,throughput,II,50,98.6026,0.7139,98.5767,98.1726,99.1543
Light,MAPPO-OR,throughput,III,50,99.8216,0.4555,99.8623,99.4942,100.1336
