Load,Method,Metric,Type,Count,Mean,Std,Median,Q1,Q3,Minimum,Maximum
Heavy,DRL-OR,delay,I,5000,117.7086,136.0803,111.9,10.0,152.0,5.0,968.8
Heavy,DRL-OR,delay,III,5000,118.1266,150.5591,107.4667,10.1667,154.9,5.0,5000.0
Heavy,DRL-OR,delay,IV,5000,120.7017,169.5326,118.71,10.08,152.08,5.0,5000.0
Heavy,DRL-OR,loss,IV,5000,14.4264,18.6765,2.9035,0.0,26.4706,0.0,100.0
Heavy,DRL-OR,throughput,II,5000,82.2416,20.0929,87.8734,69.6373,100.3465,0.0,125.309
Heavy,DRL-OR,throughput,III,5000,81.8012,19.9376,87.4632,69.1496,100.311,0.0,124.5622
Heavy,MAPPO-OR,delay,I,5000,97.3063,131.0627,30.2,10.0,147.0,5.0,5000.0
Heavy,MAPPO-OR,delay,III,5000,101.5921,165.1288,35.0167,10.0333,147.0333,5.0,5000.0
Heavy,MAPPO-OR,delay,IV,5000,104.8394,121.1007,48.29,10.06,147.08,5.0,837.02
Heavy,MAPPO-OR,loss,IV,5000,15.0433,20.2062,0.0,0.0,28.5714,0.0,91.6667
Heavy,MAPPO-OR,throughput,II,5000,79.1939,22.86,86.4165,62.8316,100.2437,0.0,113.5409
Heavy,MAPPO-OR,throughput,III,5000,82.7837,21.0687,90.1807,70.6447,100.4638,0.0,120.6875
Light,DRL-OR,delay,I,5000,14.5503,29.9883,10.2,5.2,15.6,5.0,547.2
Light,DRL-OR,delay,III,5000,14.0712,25.6133,10.1,5.0667,15.4333,5.0,583.1667
Light,DRL-OR,delay,IV,5000,13.6547,21.5604,10.12,5.1,20.02,5.0,527.0
Light,DRL-OR,loss,IV,5000,0.7949,2.8767,0.0,0.0,0.0,0.0,20.6349
Light,DRL-OR,throughput,II,5000,97.6066,9.0972,100.6395,98.5011,101.108,46.7385,125.3749
Light,DRL-OR,throughput,III,5000,98.6703,7.7543,100.6967,99.2044,101.1294,46.7383,272.7569
Light,MAPPO-OR,delay,I,5000,13.1057,19.7699,10.2,5.2,15.4,5.0,514.8
Light,MAPPO-OR,delay,III,5000,12.432,15.0317,10.0667,5.0667,15.2,5.0,535.4
Light,MAPPO-OR,delay,IV,5000,12.4234,6.9833,10.1,5.08,15.18,5.0,37.2
Light,MAPPO-OR,loss,IV,5000,0.2013,1.4817,0.0,0.0,0.0,0.0,20.6349
Light,MAPPO-OR,throughput,II,5000,98.6026,7.0807,100.7676,99.869,101.0878,54.4974,124.7648
Light,MAPPO-OR,throughput,III,5000,99.8216,4.5954,100.8137,100.1552,101.1202,52.6531,122.0508
