Method,FlowType,Count,AvgDelay,StdDelay,AvgThroughput,StdThroughput,AvgLoss,StdLoss
SPR,TypeI,1039,17.6345,52.6959,0.9968,0.5688,0.0124,0.0555
SPR,TypeII,1525,25.2703,75.6676,0.9637,0.1223,0.0225,0.0763
SPR,TypeIII,1512,20.8039,63.0460,0.9661,0.1171,0.0185,0.0651
SPR,TypeIV,924,17.4652,50.8868,0.9880,0.1121,0.0178,0.0513
LBR,TypeI,1010,16.0818,9.7246,0.9911,0.0043,0.0000,0.0000
LBR,TypeII,1543,16.4052,9.9385,1.0045,0.0178,0.0000,0.0000
LBR,TypeIII,1452,16.6667,9.8938,1.0049,0.0150,0.0000,0.0000
LBR,TypeIV,995,16.6734,9.8607,1.0029,0.0069,0.0000,0.0000
QoSR,TypeI,1008,151.2637,174.2352,0.8591,0.2035,0.1371,0.1993
QoSR,TypeII,1538,143.4902,165.9090,0.7965,0.2142,0.1574,0.2113
QoSR,TypeIII,1452,155.0758,175.9452,0.7834,0.2147,0.1706,0.2147
QoSR,TypeIV,1002,150.1895,166.4396,0.8397,0.1961,0.1551,0.1917
DRL-OR,TypeI,60304,104.8969,147.6251,0.8701,0.2289,0.1253,0.2001
DRL-OR,TypeII,89656,122.0155,161.9639,0.8006,0.2252,0.1626,0.2234
DRL-OR,TypeIII,90189,103.0396,152.8564,0.8274,0.2120,0.1419,0.2118
DRL-OR,TypeIV,59851,108.2975,162.2141,0.8512,0.2010,0.1445,0.1986
